book_name,price
It's Only the Himalayas,£45.17
Set Me Free,£17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
Libertarianism for Beginners,£51.33
Rip it Up and Start Again,£35.02
Olio,£23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
Shakespeare's Sonnets,£20.66
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
The Black Maria,£52.15
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
The Requiem Red,£22.65
The Dirty Little Secrets of Getting Your Dream Job,£33.34
Sapiens: A Brief History of Humankind,£54.23
Sharp Objects,£47.82
Behind Closed Doors,£52.22
You can't bury them all: Poems,£33.63
Maude (1883-1993):She Grew Up with the country,£18.02
"In a Dark, Dark Wood",£19.63
Penny Maybe,£33.29
Sophie's World,£15.94
The Bear and the Piano,£36.89
The Elephant Tree,£23.82
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
Birdsong: A Story in Pictures,£54.64
The Four Agreements: A Practical Guide to Personal Freedom,£17.66
Aladdin and His Wonderful Lamp,£53.13
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
Wall and Piece,£44.18
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30
Black Dust,£34.53
Chase Me (Paris Nights #2),£25.27
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
How Music Works,£37.32
A Light in the Attic,£51.77
In Her Wake,£12.84
Soumission,£50.10
Tipping the Velvet,£53.74
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15
Life,£31.58
The Story of Hong Gildong,£43.19
The Little Prince,£45.42
My Name Is Lucy Barton,£41.56
My Mrs. Brown,£24.48
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90
I Am Pilgrim (Pilgrim #1),£10.60
God: The Most Unpleasant Character in All Fiction,£30.03
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71
You Are What You Love: The Spiritual Power of Habit,£21.87
Leave This Song Behind: Teen Poetry at Its Best,£51.17
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
The Crossover,£38.77
Booked,£17.49
Twenty Love Poems and a Song of Despair,£30.95
Critique of Pure Reason,£20.75
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93
Rework,£44.88
Algorithms to Live By: The Computer Science of Human Decisions,£30.81
The Power of Now: A Guide to Spiritual Enlightenment,£43.54
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21
The Genius of Birds,£17.24
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05
Please Kill Me: The Uncensored Oral History of Punk,£31.19
The Time Keeper,£27.88
The Testament of Mary,£52.67
The First Hostage (J.B. Collins #2),£25.85
The Guilty (Will Robie #4),£13.82
Animal Farm,£57.22
Take Me with You,£45.21
You (You #1),£43.61
Still Life with Bread Crumbs,£26.41
Night Sky with Exit Wounds,£41.05
salt.,£46.78
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89
Out of Print: City Lights Spotlight No. 14,£53.64
Les Fleurs du Mal,£29.04
The Death of Humanity: and the Case for Life,£58.11
Howl and Other Poems,£40.45
The Stranger,£17.44
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06
Love Is a Mix Tape (Music #1),£18.03
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35
In the Country We Love: My Family Divided,£22.00
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14
The Murder That Never Was (Forensic Instincts #5),£54.11
Tuesday Nights in 1980,£21.04
The Metamorphosis,£28.58
The Pilgrim's Progress,£50.26
Little Women (Little Women #1),£28.07
Gone with the Wind,£32.49
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82
The Vacationers,£42.15
Poems That Make Grown Women Cry,£14.19
Candide,£58.63
The Regional Office Is Under Attack!,£51.36
The Art of Startup Fundraising,£21.00
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21
Kierkegaard: A Christian Missionary to Christians,£47.13
Finders Keepers (Bill Hodges Trilogy #2),£53.53
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77
Maybe Something Beautiful: How Art Transformed a Neighborhood,£22.54
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13
Counted With the Stars (Out from Egypt #1),£17.97
Shoe Dog: A Memoir by the Creator of NIKE,£23.99
Made to Stick: Why Some Ideas Survive and Others Die,£38.85
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55
I've Got Your Number,£19.69
If I Run (If I Run #1),£49.97
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61
I am a Hero Omnibus Volume 1,£54.63
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72
Danganronpa Volume 1,£51.99
The Edge of Reason (Bridget Jones #2),£19.18
Bridget Jones's Diary (Bridget Jones #1),£29.82
Camp Midnight,£17.08
The Secret Garden,£15.08
The 14th Colony (Cotton Malone #11),£39.24
Give It Back,£18.32
Luis Paints the World,£53.95
Raymie Nightingale,£34.41
The Whale,£35.96
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",£52.87
Nap-a-Roo,£25.08
